Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,AMQ-6074,12919686,AMQ4126Test#testOpenwireNIOSSLWithCertificate fails with JDK8,tabish,kearls,Major,Resolved,Fixed,07/Dec/15 13:21,07/Dec/15 17:29,
Bug,AMQ-6073,12919037,WebSockets no longer working on most browers,cshannon,a.marchand@progeri.com,Major,Resolved,Fixed,04/Dec/15 18:13,07/Dec/15 15:37,
Bug,AMQ-6072,12918978,"[doc] Comment on DMLC and prefetch=0 on ""Pooled Consumers and prefetch"" chapter seems wrong.",,tmielke,Major,Open,,04/Dec/15 13:47,07/Dec/15 08:23,
Bug,AMQ-6071,12918919,Log info about corrupted journal records at WARN level,gtully,tmielke,Minor,Resolved,Fixed,04/Dec/15 08:37,03/Nov/16 21:26,
Bug,AMQ-6070,12917991,originalDestination property of advisory messages set to message id in error,gtully,gtully,Minor,Resolved,Fixed,03/Dec/15 12:07,07/Mar/16 16:45,
Bug,AMQ-6069,12917573,Purging a Queue can lead to OOM error with prioritized messages,cshannon,cshannon,Major,Resolved,Fixed,02/Dec/15 13:24,04/Dec/15 13:36,
Bug,AMQ-6068,12917258,RAR - cannot reset clientId on pooled managed connection,gtully,gtully,Major,Resolved,Fixed,01/Dec/15 14:25,04/May/17 12:13,
Bug,AMQ-6067,12916971,OutOfMemoryError when expiring big amount of topic messages,cshannon,phavran,Major,Resolved,Fixed,30/Nov/15 14:42,26/Aug/16 18:35,
Bug,AMQ-6066,12916709,Performance issue in OrderedPendingList,cshannon,sits,Major,Resolved,Fixed,28/Nov/15 04:32,13/Feb/16 13:14,
Bug,AMQ-6065,12916645,Allow selective use of broker systemExitOnShutdown from DefaultIOExceptionHandler,gtully,gtully,Major,Resolved,Fixed,27/Nov/15 14:18,30/Nov/15 13:25,
Bug,AMQ-6064,12916327,"Transport Connection failed: java.net.ProtocolException: Invalid CONNECT encoding, and lots of 'CLOSE_WAIT' sockets(port:1883)",,xiongcaiqiong,Major,Closed,Cannot Reproduce,26/Nov/15 00:57,01/Dec/15 14:47,
Bug,AMQ-6063,12916189,NullPointerException during KahaDB index recovery,cshannon,cshannon,Major,Resolved,Fixed,25/Nov/15 15:56,25/Nov/15 16:04,
Bug,AMQ-6062,12916122,Broker goes 100% CPU on multi-queue command line browse,cshannon,doomytroo,Major,Resolved,Fixed,25/Nov/15 11:22,02/Dec/15 17:51,
Bug,AMQ-6060,12915785,"""Will message"" retain property is not respected",dejanb,dejanb,Major,Resolved,Fixed,24/Nov/15 12:47,24/Nov/15 13:14,
Bug,AMQ-6059,12915655,DLQ message lost after broker restarts,tabish,nevinchen,Major,Resolved,Fixed,24/Nov/15 01:49,12/Jan/16 17:00,
Bug,AMQ-6058,12915529,Certain VirtualTopic configurations send messages to the wrong queue,cshannon,cshannon,Major,Resolved,Fixed,23/Nov/15 19:42,04/Jun/16 03:17,
Bug,AMQ-6055,12914824,SASL PLAIN auth with AMQP doesn't take authzid into account,,simmel,Blocker,Resolved,Fixed,20/Nov/15 12:08,02/Nov/19 05:36,
Bug,AMQ-6054,12914759,Durable subscriber cannot receive the existing messages after AMQ restarts,,nevinchen,Major,Closed,Invalid,20/Nov/15 07:24,24/Nov/15 02:17,
