Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,AMQ-8246,13374099,CVE-2021-26117  still exists on 5.16.1,,ashwini.basavaraj@boxarr.com,Critical,Open,,21/Apr/21 10:21,21/Apr/21 10:54,
Bug,AMQ-8245,13374098,CVE-2021-26117 on AMQ 5.16.1,,ashwini.basavaraj@boxarr.com,Critical,Open,,21/Apr/21 10:20,21/Apr/21 10:20,
Bug,AMQ-8244,13374097,CVE-2021-26117 on AMQ 5.16.1,,ashwini.basavaraj@boxarr.com,Critical,Open,,21/Apr/21 10:19,21/Apr/21 10:19,
Bug,AMQ-8226,13372722,If ActiveMQ was started with low numer PID then activemq cli commands fails to check if ActiveMQ process is running.,jbonofre,nevezhyn,Major,Resolved,Fixed,15/Apr/21 19:02,17/Apr/21 06:03,
Bug,AMQ-8220,13370356,Compatibility issue of 5.16.1 with Java 16,jbonofre,jiri.formanek@atos.net,Major,Resolved,Fixed,08/Apr/21 11:16,21/Apr/21 05:11,
Bug,AMQ-8219,13370230,"Get Error when click on ""Send"" or ""Send to"" in web console",jbonofre,Chenchrl,Major,Resolved,Fixed,08/Apr/21 00:08,09/Apr/21 20:06,
Bug,AMQ-8218,13369452,activemq features break http commands,jbonofre,jbonofre,Major,Resolved,Fixed,04/Apr/21 04:40,09/Apr/21 20:06,
Bug,AMQ-8213,13369071,QueueBrowser in transacted session fails,,oburgosm,Major,Open,,01/Apr/21 09:46,21/Apr/21 05:27,
Bug,AMQ-8211,13368691,5.14.5,,liazhou,Major,Resolved,Incomplete,30/Mar/21 17:01,31/Mar/21 13:44,
Bug,AMQ-8209,13368113,XATransactionId.stringFormDefault(...) creates malformed hex strings,jbonofre,Marcono1234,Major,Open,,27/Mar/21 16:33,21/Apr/21 05:27,
Bug,AMQ-8202,13367284,VirtualTopic concurrentSend can break mKahaDB,gtully,gtully,Major,Resolved,Fixed,24/Mar/21 15:53,24/Mar/21 16:00,
Bug,AMQ-8201,13367192,ACK compaction with local transactions,jbonofre,jgallimore,Major,Resolved,Fixed,24/Mar/21 09:29,25/Mar/21 11:43,
Bug,AMQ-8200,13367146,Installing activemq-client or activemq-broker features cause jline refresh,jbonofre,jbonofre,Major,Open,,24/Mar/21 05:26,04/Apr/21 04:38,
Bug,AMQ-8193,13365240,JMSInteroperabiityTest is failing,jbonofre,jbonofre,Major,Open,,15/Mar/21 13:11,16/Mar/21 14:23,
Bug,AMQ-8192,13365167,ConnectionExpiryEvictsFromPoolTest is failing,,jbonofre,Major,Open,,15/Mar/21 08:17,15/Mar/21 13:11,
Bug,AMQ-8190,13365153,DuplexAdvisoryRaceTest is failing,jbonofre,jbonofre,Major,Resolved,Fixed,15/Mar/21 07:10,25/Mar/21 11:52,
Bug,AMQ-8189,13365152,CachedLDAPAuthorizationModuleTest is failing,jbonofre,jbonofre,Major,Resolved,Fixed,15/Mar/21 07:08,31/Mar/21 13:43,
Bug,AMQ-8188,13365150,AMQ5266SingleDestTest is failing,,jbonofre,Major,Open,,15/Mar/21 07:06,15/Mar/21 07:13,
Bug,AMQ-8187,13365066,ActiveMQ should support local transaction even in JTA mode,,benneke,Major,Open,,14/Mar/21 16:04,15/Mar/21 09:49,
Bug,AMQ-8183,13363870,Setting a maxFrameSize can lead to infinite loop and high cpu usage,cshannon,cshannon,Major,Resolved,Fixed,11/Mar/21 14:55,11/Mar/21 16:15,
Bug,AMQ-8181,13362825,Producer is unable to push messages to AMQ when AMQ resources full and then consumed.,,hareendraamq,Critical,Open,,07/Mar/21 06:23,16/Mar/21 07:02,
Bug,AMQ-8169,13362339,StompNIOSSLTest test fails with more recent JDK 8 versions,jbonofre,mattrpav,Major,Resolved,Fixed,04/Mar/21 16:28,09/Mar/21 20:22,
Bug,AMQ-8168,13362296,Server-side redelivery no longer working with 5.16.1,jbonofre,lichtin,Major,Resolved,Fixed,04/Mar/21 13:09,21/Apr/21 06:25,
Bug,AMQ-8159,13361584,Upgrade to Shiro 1.7.1,jbonofre,sishbi,Major,Resolved,Fixed,01/Mar/21 11:36,09/Mar/21 21:08,
Bug,AMQ-8154,13360346,ActiveMQ broker fails to re-establish connection with peer broker,,nauman.hameed@enghouse.com,Major,Open,,23/Feb/21 14:21,23/Feb/21 15:43,
Bug,AMQ-8148,13358736,Missing hashes for apache-nms 1.5.0/1.7.0,mattrpav,sebb,Major,Open,,16/Feb/21 00:29,03/Mar/21 16:59,
Bug,AMQ-8144,13358415,Missing dependency for parsing <camelContext>,mattrpav,Faerylnahr,Critical,Closed,Workaround,12/Feb/21 20:48,03/Mar/21 20:39,
Bug,AMQ-8142,13357750,Found SLF4J multiple bindings after adding activemq-all-5.6.0.jar file to jmeter/lib directory.,,YuliiaPolishhcuk,Major,Closed,Information Provided,09/Feb/21 12:16,09/Feb/21 16:15,
